product_id,product_name,category,cost_price,retail_price,supplier
PROD_125,Terra Sunscreen,Beauty & Personal Care,103.46,223.58,Global Distribution Inc.
PROD_126,Volt Silicone Spatula,Home & Kitchen,82.53,118.48,Apex Logistics
PROD_127,Volt Power Bank,Electronics,123.32,251.19,EcoGroup Wholesale
PROD_128,Terra Electric Toothbrush,Beauty & Personal Care,65.88,111.02,Apex Logistics
PROD_129,Eco Leather Belt,Apparel,5.0,9.51,EcoGroup Wholesale
PROD_130,Terra Cotton T-Shirt,Apparel,37.2,60.55,EcoGroup Wholesale
PROD_131,Luxe Dumbbells,Sports & Outdoors,110.94,192.48,PrimeRetail Corp
PROD_132,Aero USB-C Hub,Electronics,17.38,30.9,Global Distribution Inc.
PROD_133,Nexa Sports Hoodie,Apparel,63.74,137.62,Apex Logistics
PROD_134,Prime Silicone Spatula,Home & Kitchen,78.99,140.17,Global Distribution Inc.
PROD_135,Prime Canvas Backpack,Apparel,116.26,232.32,PrimeRetail Corp
PROD_136,Nexa Dumbbells,Sports & Outdoors,23.56,51.5,Apex Logistics
PROD_137,Apex Dumbbells,Sports & Outdoors,17.23,36.73,PrimeRetail Corp
PROD_138,Luxe Chef Knife,Home & Kitchen,129.47,169.43,PrimeRetail Corp
PROD_139,Nexa Smart Watch,Electronics,62.42,119.04,EcoGroup Wholesale
PROD_140,Apex Woolen Socks,Apparel,92.99,137.28,Global Distribution Inc.
PROD_141,Eco Resistance Bands,Sports & Outdoors,28.87,43.49,Apex Logistics
PROD_142,Prime USB-C Hub,Electronics,131.87,171.69,Global Distribution Inc.
PROD_143,Eco Laptop Stand,Electronics,35.37,53.36,Global Distribution Inc.
PROD_144,Volt Hiking Backpack,Sports & Outdoors,21.11,33.26,Apex Logistics
PROD_145,Apex Denim Jacket,Apparel,137.68,199.79,Global Distribution Inc.
PROD_146,Prime Electric Toothbrush,Beauty & Personal Care,131.84,267.78,PrimeRetail Corp
PROD_147,Nexa Food Storage Set,Home & Kitchen,115.03,176.47,Apex Logistics
PROD_148,Apex Sleeping Bag,Sports & Outdoors,29.79,49.31,PrimeRetail Corp
PROD_149,Prime Non-stick Pan,Home & Kitchen,28.72,61.86,EcoGroup Wholesale
PROD_150,Luxe Non-stick Pan,Home & Kitchen,128.98,177.73,EcoGroup Wholesale
PROD_151,Prime Yoga Mat,Sports & Outdoors,30.61,45.66,Global Distribution Inc.
PROD_152,Aero Sunscreen,Beauty & Personal Care,66.99,94.73,EcoGroup Wholesale
PROD_153,Eco Chef Knife,Home & Kitchen,32.0,63.94,PrimeRetail Corp
PROD_154,Prime Denim Jacket,Apparel,58.52,95.09,Apex Logistics
PROD_155,Nexa Canvas Backpack,Apparel,68.4,103.59,PrimeRetail Corp
PROD_156,Eco Food Storage Set,Home & Kitchen,121.67,197.06,EcoGroup Wholesale
PROD_157,Apex Woolen Socks,Apparel,47.84,64.19,PrimeRetail Corp
PROD_158,Terra Lip Balm,Beauty & Personal Care,64.62,119.43,EcoGroup Wholesale
PROD_159,Luxe Food Storage Set,Home & Kitchen,48.48,81.05,Global Distribution Inc.
PROD_160,Apex Sleeping Bag,Sports & Outdoors,86.19,157.55,Apex Logistics
PROD_161,Nexa Tablet Pen,Electronics,30.19,57.5,Apex Logistics
PROD_162,Nexa Running Shoes,Apparel,105.49,171.92,Global Distribution Inc.
PROD_163,Prime Wireless Earbuds,Electronics,10.31,20.22,PrimeRetail Corp
PROD_164,Nexa Resistance Bands,Sports & Outdoors,18.86,33.56,Apex Logistics
PROD_165,Prime Sunglasses,Apparel,144.3,303.73,PrimeRetail Corp
PROD_166,Luxe Face Wash,Beauty & Personal Care,20.3,44.51,Apex Logistics
PROD_167,Volt Moisturizer,Beauty & Personal Care,48.05,84.95,Global Distribution Inc.
PROD_168,Terra Air Fryer,Home & Kitchen,102.76,214.42,EcoGroup Wholesale
PROD_169,Apex Denim Jacket,Apparel,145.73,196.85,PrimeRetail Corp
PROD_170,Nexa Body Wash,Beauty & Personal Care,94.21,177.48,EcoGroup Wholesale
PROD_171,Luxe Power Bank,Electronics,117.19,225.85,Global Distribution Inc.
PROD_172,Apex Resistance Bands,Sports & Outdoors,97.35,194.83,Global Distribution Inc.
PROD_173,Nexa Cotton T-Shirt,Apparel,141.31,272.71,PrimeRetail Corp
PROD_174,Apex Laptop Stand,Electronics,76.69,107.43,Apex Logistics
PROD_175,Apex Bluetooth Speaker,Electronics,107.24,189.84,Global Distribution Inc.
PROD_176,Eco Running Shoes,Apparel,57.8,111.85,EcoGroup Wholesale
PROD_177,Nexa Laptop Stand,Electronics,77.19,118.43,Global Distribution Inc.
PROD_178,Luxe Camping Tent,Sports & Outdoors,38.45,70.54,Global Distribution Inc.
PROD_179,Aero Laptop Stand,Electronics,95.38,181.34,EcoGroup Wholesale
PROD_180,Aero Woolen Socks,Apparel,19.7,30.46,PrimeRetail Corp
PROD_181,Luxe Hair Dryer,Beauty & Personal Care,95.69,207.46,PrimeRetail Corp
PROD_182,Volt Sunglasses,Apparel,79.38,136.02,PrimeRetail Corp
PROD_183,Luxe Chef Knife,Home & Kitchen,136.39,241.33,EcoGroup Wholesale
PROD_184,Terra Non-stick Pan,Home & Kitchen,20.15,41.09,Apex Logistics
PROD_185,Aero Coffee Maker,Home & Kitchen,36.31,77.25,Apex Logistics
PROD_186,Apex Wireless Earbuds,Electronics,138.62,221.05,Global Distribution Inc.
PROD_187,Nexa Water Bottle,Home & Kitchen,116.03,171.29,Global Distribution Inc.
PROD_188,Aero Bluetooth Speaker,Electronics,121.23,255.01,Global Distribution Inc.
PROD_189,Volt Air Fryer,Home & Kitchen,28.2,42.96,EcoGroup Wholesale
PROD_190,Terra Air Fryer,Home & Kitchen,115.86,218.22,Global Distribution Inc.
PROD_191,Apex Yoga Mat,Sports & Outdoors,42.36,85.93,Apex Logistics
PROD_192,Nexa Wireless Earbuds,Electronics,139.49,261.72,PrimeRetail Corp
PROD_193,Prime Sports Hoodie,Apparel,85.03,169.98,Global Distribution Inc.
PROD_194,Aero Running Shoes,Apparel,70.66,116.43,EcoGroup Wholesale
PROD_195,Apex Blender,Home & Kitchen,36.31,77.17,PrimeRetail Corp
PROD_196,Apex Sleeping Bag,Sports & Outdoors,134.53,205.6,Global Distribution Inc.
PROD_197,Prime Coffee Maker,Home & Kitchen,61.37,117.49,EcoGroup Wholesale
PROD_198,Apex Sunglasses,Apparel,5.27,10.19,EcoGroup Wholesale
PROD_199,Prime Waterproof Jacket,Sports & Outdoors,5.18,11.11,Global Distribution Inc.
PROD_200,Volt Waterproof Jacket,Sports & Outdoors,123.67,231.24,Apex Logistics
PROD_201,Volt Laptop Stand,Electronics,124.01,266.02,PrimeRetail Corp
PROD_202,Apex Waterproof Jacket,Sports & Outdoors,124.94,273.72,Apex Logistics
PROD_203,Apex Wireless Earbuds,Electronics,13.67,20.64,PrimeRetail Corp
PROD_204,Terra Hair Dryer,Beauty & Personal Care,5.02,7.88,Global Distribution Inc.
PROD_205,Apex Running Shoes,Apparel,111.89,224.17,EcoGroup Wholesale
PROD_206,Aero Bluetooth Speaker,Electronics,37.62,72.45,Global Distribution Inc.
PROD_207,Nexa Sleeping Bag,Sports & Outdoors,40.05,86.74,PrimeRetail Corp
PROD_208,Nexa USB-C Hub,Electronics,38.55,52.14,PrimeRetail Corp
PROD_209,Terra Air Fryer,Home & Kitchen,134.73,181.71,Global Distribution Inc.
PROD_210,Eco Phone Charger,Electronics,67.28,103.52,Apex Logistics
PROD_211,Luxe Sunglasses,Apparel,99.93,157.21,EcoGroup Wholesale
PROD_212,Volt Power Bank,Electronics,91.68,139.58,Global Distribution Inc.
PROD_213,Luxe Hiking Backpack,Sports & Outdoors,50.08,88.72,EcoGroup Wholesale
PROD_214,Nexa Sleeping Bag,Sports & Outdoors,75.99,102.03,EcoGroup Wholesale
PROD_215,Prime Power Bank,Electronics,133.59,266.04,Global Distribution Inc.
PROD_216,Prime Yoga Mat,Sports & Outdoors,62.76,125.1,Apex Logistics
PROD_217,Luxe Sunscreen,Beauty & Personal Care,49.79,91.24,Global Distribution Inc.
PROD_218,Nexa Canvas Backpack,Apparel,35.96,50.97,Apex Logistics
PROD_219,Eco Bluetooth Speaker,Electronics,14.4,24.52,PrimeRetail Corp
PROD_220,Nexa Power Bank,Electronics,137.08,298.5,EcoGroup Wholesale
PROD_221,Volt Camping Tent,Sports & Outdoors,119.45,172.22,PrimeRetail Corp
PROD_222,Eco Leather Belt,Apparel,125.81,239.85,PrimeRetail Corp
PROD_223,Volt Bluetooth Speaker,Electronics,76.74,156.7,PrimeRetail Corp
PROD_224,Terra Smart Watch,Electronics,51.03,104.2,Apex Logistics
PROD_225,Luxe USB-C Hub,Electronics,76.83,101.53,Apex Logistics
PROD_226,Apex Sleeping Bag,Sports & Outdoors,95.69,179.27,PrimeRetail Corp
PROD_227,Apex Shampoo,Beauty & Personal Care,123.62,249.33,EcoGroup Wholesale
PROD_228,Nexa Tablet Pen,Electronics,149.97,206.63,EcoGroup Wholesale
PROD_229,Eco Woolen Socks,Apparel,61.88,129.8,EcoGroup Wholesale
PROD_230,Apex USB-C Hub,Electronics,32.42,65.35,Apex Logistics
PROD_231,Aero Sunscreen,Beauty & Personal Care,92.9,185.47,PrimeRetail Corp
PROD_232,Volt Electric Toothbrush,Beauty & Personal Care,61.67,88.35,PrimeRetail Corp
PROD_233,Apex Running Shoes,Apparel,32.71,67.78,EcoGroup Wholesale
PROD_234,Luxe Air Fryer,Home & Kitchen,41.13,90.09,PrimeRetail Corp
PROD_235,Prime Moisturizer,Beauty & Personal Care,100.31,130.6,Global Distribution Inc.
PROD_236,Terra Sunscreen,Beauty & Personal Care,17.07,23.77,PrimeRetail Corp
PROD_237,Nexa Bicycle Helmet,Sports & Outdoors,21.84,37.47,PrimeRetail Corp
PROD_238,Luxe Chef Knife,Home & Kitchen,147.41,308.37,Apex Logistics
PROD_239,Volt Sunscreen,Beauty & Personal Care,60.86,112.31,Apex Logistics
PROD_240,Nexa Power Bank,Electronics,121.28,248.15,Global Distribution Inc.
PROD_241,Prime Waterproof Jacket,Sports & Outdoors,16.5,31.84,Global Distribution Inc.
PROD_242,Terra Smart Watch,Electronics,145.85,252.26,PrimeRetail Corp
PROD_243,Terra Bicycle Helmet,Sports & Outdoors,29.54,39.94,EcoGroup Wholesale
PROD_244,Nexa Shampoo,Beauty & Personal Care,115.84,155.7,EcoGroup Wholesale
PROD_245,Prime Sunglasses,Apparel,134.02,199.02,EcoGroup Wholesale
PROD_246,Nexa Air Fryer,Home & Kitchen,23.48,33.32,PrimeRetail Corp
PROD_247,Apex Sunglasses,Apparel,27.38,40.73,PrimeRetail Corp
PROD_248,Prime Woolen Socks,Apparel,91.55,187.46,EcoGroup Wholesale
PROD_249,Luxe Body Wash,Beauty & Personal Care,71.17,142.49,Apex Logistics
PROD_250,Aero Shampoo,Beauty & Personal Care,24.84,49.27,Global Distribution Inc.
PROD_251,Eco Wireless Earbuds,Electronics,94.29,141.71,EcoGroup Wholesale
PROD_252,Volt Shampoo,Beauty & Personal Care,28.93,54.92,Apex Logistics
PROD_253,Apex Camping Tent,Sports & Outdoors,95.31,186.19,Global Distribution Inc.
PROD_254,Apex Bluetooth Speaker,Electronics,76.31,158.9,EcoGroup Wholesale
PROD_255,Terra Sunscreen,Beauty & Personal Care,136.82,268.59,EcoGroup Wholesale
PROD_256,Nexa Wireless Earbuds,Electronics,125.48,171.24,Global Distribution Inc.
PROD_257,Terra Sleeping Bag,Sports & Outdoors,50.88,81.22,Apex Logistics
PROD_258,Aero Leather Belt,Apparel,128.78,256.91,EcoGroup Wholesale
PROD_259,Apex Shampoo,Beauty & Personal Care,148.54,290.92,Apex Logistics
PROD_260,Aero Body Wash,Beauty & Personal Care,144.17,239.15,EcoGroup Wholesale
PROD_261,Aero Sports Hoodie,Apparel,30.04,58.39,Global Distribution Inc.
PROD_262,Apex Running Shoes,Apparel,102.93,214.8,Global Distribution Inc.
PROD_263,Volt Dumbbells,Sports & Outdoors,114.25,191.1,EcoGroup Wholesale
PROD_264,Terra Bluetooth Speaker,Electronics,26.43,48.34,PrimeRetail Corp
PROD_265,Eco Denim Jacket,Apparel,69.8,93.56,Apex Logistics
PROD_266,Luxe Leather Belt,Apparel,30.87,60.81,Global Distribution Inc.
PROD_267,Prime Coffee Maker,Home & Kitchen,137.22,178.76,PrimeRetail Corp
PROD_268,Eco Food Storage Set,Home & Kitchen,10.21,18.78,Apex Logistics
PROD_269,Aero Sunscreen,Beauty & Personal Care,129.61,186.89,Global Distribution Inc.
PROD_270,Prime Sleeping Bag,Sports & Outdoors,97.66,155.55,PrimeRetail Corp
PROD_271,Prime Power Bank,Electronics,28.75,54.32,Global Distribution Inc.
PROD_272,Apex Running Shoes,Apparel,80.88,152.96,PrimeRetail Corp
PROD_273,Apex Blender,Home & Kitchen,16.19,28.46,EcoGroup Wholesale
PROD_274,Luxe Lip Balm,Beauty & Personal Care,42.95,60.9,Global Distribution Inc.
PROD_275,Terra Smart Watch,Electronics,134.3,205.38,Apex Logistics
PROD_276,Volt Wireless Earbuds,Electronics,84.7,175.84,Global Distribution Inc.
PROD_277,Nexa Silicone Spatula,Home & Kitchen,95.34,203.3,PrimeRetail Corp
PROD_278,Volt Running Shoes,Apparel,25.82,46.85,EcoGroup Wholesale
PROD_279,Volt Body Wash,Beauty & Personal Care,16.15,32.29,EcoGroup Wholesale
PROD_280,Nexa Tablet Pen,Electronics,16.93,33.15,Global Distribution Inc.
PROD_281,Terra Sports Hoodie,Apparel,29.63,46.21,EcoGroup Wholesale
PROD_282,Prime Blender,Home & Kitchen,17.48,24.53,EcoGroup Wholesale
PROD_283,Terra Hiking Backpack,Sports & Outdoors,136.66,245.86,Global Distribution Inc.
PROD_284,Prime Silicone Spatula,Home & Kitchen,126.22,242.76,Global Distribution Inc.
PROD_285,Apex Laptop Stand,Electronics,145.07,190.84,PrimeRetail Corp
PROD_286,Aero Wireless Earbuds,Electronics,113.84,240.28,EcoGroup Wholesale
PROD_287,Nexa Food Storage Set,Home & Kitchen,66.54,96.6,EcoGroup Wholesale
PROD_288,Nexa Yoga Mat,Sports & Outdoors,113.71,199.93,Global Distribution Inc.
PROD_289,Terra Electric Toothbrush,Beauty & Personal Care,130.16,279.02,Apex Logistics
PROD_290,Terra Hiking Backpack,Sports & Outdoors,136.53,282.02,EcoGroup Wholesale
PROD_291,Volt Woolen Socks,Apparel,51.33,86.2,Global Distribution Inc.
PROD_292,Eco Smart Watch,Electronics,18.78,25.68,Global Distribution Inc.
PROD_293,Aero Woolen Socks,Apparel,61.32,132.53,EcoGroup Wholesale
PROD_294,Volt Chef Knife,Home & Kitchen,17.32,29.8,Global Distribution Inc.
PROD_295,Terra Blender,Home & Kitchen,140.0,245.12,Global Distribution Inc.
PROD_296,Aero Leather Belt,Apparel,13.85,27.25,EcoGroup Wholesale
PROD_297,Nexa Blender,Home & Kitchen,91.34,122.05,Global Distribution Inc.
PROD_298,Aero Woolen Socks,Apparel,83.31,122.28,EcoGroup Wholesale
PROD_299,Prime Tablet Pen,Electronics,108.68,166.72,PrimeRetail Corp
PROD_300,Nexa Woolen Socks,Apparel,45.55,90.49,Apex Logistics
PROD_301,Eco Hiking Backpack,Sports & Outdoors,133.06,242.25,PrimeRetail Corp
PROD_302,Volt Face Wash,Beauty & Personal Care,83.55,151.16,PrimeRetail Corp
PROD_303,Luxe Hair Dryer,Beauty & Personal Care,114.4,207.55,Global Distribution Inc.
PROD_304,Apex Bluetooth Speaker,Electronics,96.95,200.26,EcoGroup Wholesale
PROD_305,Terra Blender,Home & Kitchen,84.9,185.47,PrimeRetail Corp
PROD_306,Nexa Food Storage Set,Home & Kitchen,104.29,145.33,EcoGroup Wholesale
PROD_307,Nexa Power Bank,Electronics,28.13,43.32,Apex Logistics
PROD_308,Prime Phone Charger,Electronics,54.68,75.93,Apex Logistics
PROD_309,Prime Leather Belt,Apparel,74.79,102.15,PrimeRetail Corp
PROD_310,Apex Power Bank,Electronics,138.44,285.39,PrimeRetail Corp
PROD_311,Nexa Blender,Home & Kitchen,104.76,168.14,PrimeRetail Corp
PROD_312,Nexa Camping Tent,Sports & Outdoors,9.41,18.86,PrimeRetail Corp
PROD_313,Terra Lip Balm,Beauty & Personal Care,93.58,140.85,EcoGroup Wholesale
PROD_314,Prime Shampoo,Beauty & Personal Care,6.64,8.72,Global Distribution Inc.
PROD_315,Volt Resistance Bands,Sports & Outdoors,108.9,231.84,Global Distribution Inc.
PROD_316,Prime Sunglasses,Apparel,92.24,126.74,Apex Logistics
PROD_317,Terra Camping Tent,Sports & Outdoors,68.86,92.02,EcoGroup Wholesale
PROD_318,Volt Bicycle Helmet,Sports & Outdoors,122.79,184.5,Apex Logistics
PROD_319,Prime Water Bottle,Home & Kitchen,123.94,220.64,Global Distribution Inc.
PROD_320,Apex Resistance Bands,Sports & Outdoors,32.64,68.14,PrimeRetail Corp
